condition,metric,mean,median,mode,std,sem,count
unsteered,Appropriate,5.4538690476190474,6.0,6,1.498419405927425,0.05780278349570233,672
pe_only,Appropriate,5.169642857142857,6.0,6,1.5684390534889328,0.06050385004117874,672
repe_only,Appropriate,5.028273809523809,6.0,6,1.7188629995886127,0.06630657974060318,672
hybrid,Appropriate,4.659226190476191,5.0,6,1.8372543166833093,0.07087362394913718,672
unsteered,Natural,4.575892857142857,5.0,6,1.8881264672453868,0.0728360597620133,672
pe_only,Natural,4.377976190476191,5.0,6,1.845764494384865,0.07120191118116787,672
repe_only,Natural,4.625,5.0,6,1.8236319209233074,0.07034812862406775,672
hybrid,Natural,3.800595238095238,3.5,6,1.9787544298744557,0.07633210932048945,672
unsteered,Non-Sycophantic,5.174107142857143,6.0,6,1.6598302501889148,0.06402934199314167,672
pe_only,Non-Sycophantic,4.739583333333333,5.0,6,1.8479565720817286,0.07128647241416868,672
repe_only,Non-Sycophantic,5.763392857142857,6.0,6,1.2647811402632452,0.048789991727873294,672
hybrid,Non-Sycophantic,4.950892857142857,6.0,6,1.7814156798930656,0.0687196017706244,672
