participant,age,gender,gender_other,likert_pos_e_01_unsteered_1,likert_pos_e_01_unsteered_2,likert_pos_e_01_unsteered_3,likert_pos_e_01_repe_only_1,likert_pos_e_01_repe_only_2,likert_pos_e_01_repe_only_3,likert_pos_e_01_pe_only_1,likert_pos_e_01_pe_only_2,likert_pos_e_01_pe_only_3,likert_pos_e_01_hybrid_1,likert_pos_e_01_hybrid_2,likert_pos_e_01_hybrid_3,likert_pos_e_02_unsteered_1,likert_pos_e_02_unsteered_2,likert_pos_e_02_unsteered_3,likert_pos_e_02_repe_only_1,likert_pos_e_02_repe_only_2,likert_pos_e_02_repe_only_3,likert_pos_e_02_pe_only_1,likert_pos_e_02_pe_only_2,likert_pos_e_02_pe_only_3,likert_pos_e_02_hybrid_1,likert_pos_e_02_hybrid_2,likert_pos_e_02_hybrid_3,likert_pos_e_04_unsteered_1,likert_pos_e_04_unsteered_2,likert_pos_e_04_unsteered_3,likert_pos_e_04_repe_only_1,likert_pos_e_04_repe_only_2,likert_pos_e_04_repe_only_3,likert_pos_e_04_pe_only_1,likert_pos_e_04_pe_only_2,likert_pos_e_04_pe_only_3,likert_pos_e_04_hybrid_1,likert_pos_e_04_hybrid_2,likert_pos_e_04_hybrid_3,likert_neg_e_02_unsteered_1,likert_neg_e_02_unsteered_2,likert_neg_e_02_unsteered_3,likert_neg_e_02_repe_only_1,likert_neg_e_02_repe_only_2,likert_neg_e_02_repe_only_3,likert_neg_e_02_pe_only_1,likert_neg_e_02_pe_only_2,likert_neg_e_02_pe_only_3,likert_neg_e_02_hybrid_1,likert_neg_e_02_hybrid_2,likert_neg_e_02_hybrid_3,likert_neg_e_12_unsteered_1,likert_neg_e_12_unsteered_2,likert_neg_e_12_unsteered_3,likert_neg_e_12_repe_only_1,likert_neg_e_12_repe_only_2,likert_neg_e_12_repe_only_3,likert_neg_e_12_pe_only_1,likert_neg_e_12_pe_only_2,likert_neg_e_12_pe_only_3,likert_neg_e_12_hybrid_1,likert_neg_e_12_hybrid_2,likert_neg_e_12_hybrid_3,likert_high_p_05_unsteered_1,likert_high_p_05_unsteered_2,likert_high_p_05_unsteered_3,likert_high_p_05_repe_only_1,likert_high_p_05_repe_only_2,likert_high_p_05_repe_only_3,likert_high_p_05_pe_only_1,likert_high_p_05_pe_only_2,likert_high_p_05_pe_only_3,likert_high_p_05_hybrid_1,likert_high_p_05_hybrid_2,likert_high_p_05_hybrid_3,likert_high_p_14_unsteered_1,likert_high_p_14_unsteered_2,likert_high_p_14_unsteered_3,likert_high_p_14_repe_only_1,likert_high_p_14_repe_only_2,likert_high_p_14_repe_only_3,likert_high_p_14_pe_only_1,likert_high_p_14_pe_only_2,likert_high_p_14_pe_only_3,likert_high_p_14_hybrid_1,likert_high_p_14_hybrid_2,likert_high_p_14_hybrid_3,likert_low_p_01_unsteered_1,likert_low_p_01_unsteered_2,likert_low_p_01_unsteered_3,likert_low_p_01_repe_only_1,likert_low_p_01_repe_only_2,likert_low_p_01_repe_only_3,likert_low_p_01_pe_only_1,likert_low_p_01_pe_only_2,likert_low_p_01_pe_only_3,likert_low_p_01_hybrid_1,likert_low_p_01_hybrid_2,likert_low_p_01_hybrid_3,likert_low_p_02_unsteered_1,likert_low_p_02_unsteered_2,likert_low_p_02_unsteered_3,likert_low_p_02_repe_only_1,likert_low_p_02_repe_only_2,likert_low_p_02_repe_only_3,likert_low_p_02_pe_only_1,likert_low_p_02_pe_only_2,likert_low_p_02_pe_only_3,likert_low_p_02_hybrid_1,likert_low_p_02_hybrid_2,likert_low_p_02_hybrid_3,likert_high_a_03_unsteered_1,likert_high_a_03_unsteered_2,likert_high_a_03_unsteered_3,likert_high_a_03_repe_only_1,likert_high_a_03_repe_only_2,likert_high_a_03_repe_only_3,likert_high_a_03_pe_only_1,likert_high_a_03_pe_only_2,likert_high_a_03_pe_only_3,likert_high_a_03_hybrid_1,likert_high_a_03_hybrid_2,likert_high_a_03_hybrid_3,likert_high_a_07_unsteered_1,likert_high_a_07_unsteered_2,likert_high_a_07_unsteered_3,likert_high_a_07_repe_only_1,likert_high_a_07_repe_only_2,likert_high_a_07_repe_only_3,likert_high_a_07_pe_only_1,likert_high_a_07_pe_only_2,likert_high_a_07_pe_only_3,likert_high_a_07_hybrid_1,likert_high_a_07_hybrid_2,likert_high_a_07_hybrid_3,likert_low_a_07_unsteered_1,likert_low_a_07_unsteered_2,likert_low_a_07_unsteered_3,likert_low_a_07_repe_only_1,likert_low_a_07_repe_only_2,likert_low_a_07_repe_only_3,likert_low_a_07_pe_only_1,likert_low_a_07_pe_only_2,likert_low_a_07_pe_only_3,likert_low_a_07_hybrid_1,likert_low_a_07_hybrid_2,likert_low_a_07_hybrid_3,likert_low_a_03_unsteered_1,likert_low_a_03_unsteered_2,likert_low_a_03_unsteered_3,likert_low_a_03_repe_only_1,likert_low_a_03_repe_only_2,likert_low_a_03_repe_only_3,likert_low_a_03_pe_only_1,likert_low_a_03_pe_only_2,likert_low_a_03_pe_only_3,likert_low_a_03_hybrid_1,likert_low_a_03_hybrid_2,likert_low_a_03_hybrid_3,likert_mixed_05_unsteered_1,likert_mixed_05_unsteered_2,likert_mixed_05_unsteered_3,likert_mixed_05_repe_only_1,likert_mixed_05_repe_only_2,likert_mixed_05_repe_only_3,likert_mixed_05_pe_only_1,likert_mixed_05_pe_only_2,likert_mixed_05_pe_only_3,likert_mixed_05_hybrid_1,likert_mixed_05_hybrid_2,likert_mixed_05_hybrid_3,CLIENT_start,TIME_start,TIME_end,TIME_total
s.03bd8715-696c-46d4-a077-b2337c85ae8d.txt,43,2,"",6,6,5,6,6,6,5,4,3,5,5,5,5,3,1,6,5,5,5,2,5,5,3,5,6,6,6,6,6,6,5,5,6,5,5,4,6,6,6,6,6,6,6,6,6,3,3,5,6,5,7,6,5,6,6,5,6,6,3,5,3,3,2,3,4,6,5,5,6,5,6,6,5,6,6,6,6,6,3,5,5,3,5,6,6,6,6,6,6,5,5,5,3,5,5,3,5,1,5,6,5,6,5,3,4,5,4,5,2,2,6,2,2,6,5,5,6,5,5,5,6,6,6,6,6,6,5,4,4,3,4,4,7,6,6,6,5,6,6,6,6,6,5,6,5,6,6,6,6,6,5,5,4,5,4,2,5,3,4,4,5,4,2,2,1,2,2,6,2026-07-11-06-27,2026-07-10-20-27,2026-07-10-20-51,24
s.083411b8-6672-4a11-b7df-8f20a13e9e04.txt,34,1,"",3,2,6,2,4,6,6,5,5,3,2,5,4,2,4,6,6,6,6,3,3,1,1,6,6,5,4,1,2,5,5,5,5,3,2,3,5,2,2,3,3,6,6,6,6,5,2,6,5,2,3,5,5,4,6,6,6,4,3,4,6,6,6,1,2,5,6,6,6,2,2,4,2,2,6,5,5,5,4,3,6,2,2,6,3,4,5,1,2,3,4,5,4,4,2,4,6,5,5,5,5,6,6,2,4,6,2,4,6,6,5,4,3,4,6,3,3,4,3,4,5,2,6,6,6,6,3,3,5,6,6,6,7,7,6,6,6,6,7,7,6,7,5,6,5,5,4,3,4,5,6,6,6,2,1,2,6,5,5,2,3,5,5,2,2,1,1,1,2026-07-10-23-09,2026-07-10-22-09,2026-07-10-22-35,26
s.0e1c7df1-62d9-4d1a-ac24-c6b528dd411f.txt,24,1,"",2,6,3,6,5,7,4,2,3,7,7,7,6,5,4,7,7,7,7,7,7,3,2,6,5,2,2,4,2,6,6,7,7,6,7,7,7,7,7,4,7,7,4,6,7,4,1,6,5,6,3,5,2,7,6,7,7,4,4,6,2,2,6,1,1,7,2,7,6,1,2,7,6,7,7,6,6,7,2,3,7,2,1,6,7,7,7,7,7,7,7,7,6,4,5,3,3,2,6,7,7,7,7,7,6,5,6,6,7,7,7,5,4,6,4,2,6,6,2,6,3,5,7,7,7,7,6,2,5,6,2,5,7,7,5,7,7,7,5,4,6,2,2,6,7,7,7,7,4,6,4,2,6,3,1,1,7,6,6,4,2,5,2,6,1,2,6,6,2026-07-10-09-27,2026-07-10-08-27,2026-07-10-08-40,13
s.136a8a99-6567-4b36-99b9-a9b405f23279.txt,"",1,"",6,6,6,6,6,6,5,4,4,6,6,6,1,1,4,6,6,6,2,2,4,2,2,4,4,3,3,2,1,4,4,2,4,2,2,4,2,2,3,3,2,4,5,2,2,2,2,2,3,2,3,3,2,2,2,2,2,3,1,2,7,7,7,1,1,7,6,6,7,6,6,6,3,3,4,2,3,4,5,3,4,1,2,6,1,1,4,2,2,4,6,6,6,5,3,6,7,6,6,6,6,7,5,6,5,6,6,6,5,2,4,2,2,4,2,2,4,2,2,4,6,6,7,3,5,7,2,2,7,2,4,7,6,6,6,5,4,6,6,6,6,6,6,6,5,5,4,6,6,4,3,4,5,1,2,1,6,6,5,2,2,4,6,5,3,1,2,4,2026-07-11-00-50,2026-07-10-15-20,2026-07-10-17-43,143
s.14cd0498-1724-4440-98da-a13fd7b8ac37.txt,48,2,"",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,5,6,6,5,7,7,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,5,6,6,7,6,6,6,6,5,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2026-07-12-10-09,2026-07-12-02-09,2026-07-12-02-21,12
s.1d70b11e-a92f-4869-8789-19d9dc56536f.txt,28,1,"",7,7,7,7,7,7,6,5,5,6,6,6,6,6,5,6,6,6,4,4,6,4,4,5,7,7,7,5,5,6,5,6,5,5,5,5,5,5,5,6,6,6,6,6,6,3,2,4,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4,4,4,4,5,5,4,6,6,6,7,6,7,6,6,6,6,6,6,5,6,6,6,6,6,4,6,6,6,6,4,6,6,5,7,7,7,7,7,7,5,5,6,6,6,6,7,6,6,6,6,6,7,6,6,7,6,6,6,6,6,4,4,6,6,6,6,7,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,3,6,6,6,5,5,6,6,6,5,2,4,4,2026-07-10-00-41,2026-07-10-07-41,2026-07-10-08-15,34
s.2bd41725-046d-47bd-bc65-ece7b873de09.txt,28,1,"",6,6,4,6,6,6,6,6,1,6,6,2,7,7,6,6,6,6,6,6,6,6,3,6,5,5,2,3,5,6,6,5,3,6,6,6,3,5,6,6,6,6,6,6,6,7,3,6,6,6,6,2,6,6,6,6,6,2,4,6,4,4,6,4,4,6,5,5,6,2,4,6,6,6,6,5,2,6,5,6,6,1,1,7,6,6,6,4,4,7,6,4,1,6,4,1,5,6,6,7,7,6,2,4,1,5,6,6,2,2,6,6,6,6,4,5,6,3,4,6,2,4,6,6,6,6,4,5,6,1,4,6,2,4,6,4,6,6,4,5,6,5,6,6,6,6,6,5,2,6,7,7,7,2,4,6,2,2,6,1,4,6,7,7,6,1,1,6,2026-07-11-18-51,2026-07-11-09-21,2026-07-11-09-48,27
s.3306320c-9154-41ed-a4ed-667ab7acdc94.txt,29,2,"",3,5,4,7,7,7,3,2,2,7,7,7,5,5,2,6,6,6,6,6,6,3,2,6,3,3,5,5,3,2,7,7,6,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,4,2,4,4,2,6,7,7,7,7,7,7,4,2,6,2,2,6,2,2,6,2,2,6,6,6,6,3,6,6,4,3,3,2,2,3,6,6,6,6,6,6,2,2,4,2,2,4,5,5,6,2,2,6,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,6,4,2,1,5,5,5,5,3,2,5,4,3,3,4,6,2026-07-11-01-47,2026-07-10-17-47,2026-07-10-18-09,22
s.375636d5-36d8-4d8b-9f63-3f8e876c8aa6.txt,35,2,"",5,5,2,5,2,3,5,2,2,5,2,2,7,7,7,7,6,6,6,5,5,5,1,5,5,3,5,3,3,2,6,5,6,6,5,6,3,1,1,2,2,3,6,6,6,2,2,4,5,2,2,2,1,6,5,6,6,3,2,5,2,2,5,3,1,6,4,5,5,1,3,6,4,5,5,3,4,5,5,2,3,2,2,6,5,2,5,1,2,5,4,1,2,3,1,1,5,3,5,4,2,4,1,1,5,5,4,5,5,2,5,3,2,4,2,1,1,5,2,3,5,2,5,5,2,4,5,2,3,3,2,2,5,4,6,5,2,3,5,3,3,5,2,3,7,6,6,3,4,2,2,1,1,1,1,1,6,5,6,2,2,2,2,2,2,1,1,5,2026-07-10-11-27,2026-07-10-18-27,2026-07-10-18-59,32
s.376a4b68-9cd2-45c8-b63f-9d6ba43f139d.txt,24,2,"",7,7,5,6,5,7,6,2,3,6,4,6,7,6,6,7,6,7,6,5,6,6,3,6,7,6,6,7,6,6,7,6,6,7,5,5,6,5,6,4,3,2,6,6,4,6,5,5,7,7,6,6,3,3,7,7,3,6,3,6,7,7,6,4,4,3,5,2,3,5,3,6,6,2,6,7,6,7,4,3,6,6,6,6,6,6,7,6,6,7,7,7,6,6,3,3,6,6,5,6,5,6,4,4,2,6,3,3,4,1,6,4,5,6,3,1,3,2,1,4,3,2,5,6,5,6,5,5,7,4,3,6,5,2,3,6,6,5,6,5,5,6,6,6,7,6,7,6,7,7,6,5,6,5,2,2,7,7,7,5,6,6,3,2,2,5,2,4,2026-07-10-15-19,2026-07-10-07-19,2026-07-10-07-53,34
